id,group,identity,current_filename,current_url,placement,recommended_filename,required_size,required_format,status,notes
NGUOI-001,Founder,Lê Khải Minh — Co-Founder Winterfrost,Nguyen-Tien-Co-Founder-at-HomeNest-Viet-Nam.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Nguyen-Tien-Co-Founder-at-HomeNest-Viet-Nam.jpg,Trang chủ; Giới thiệu; bảng giá/đặt lịch,public/images/people/founder/winterfrost/le-khai-minh.webp,1600 × 2000 px (4:5),WebP chất lượng 88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-002,Đội ngũ,Nguyễn Hoàng Nam,Nguyen-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Nguyen-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/nguyen-hoang-nam.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-003,Đội ngũ,Trần Ngọc Anh,Ngoc-Anh-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Ngoc-Anh-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/tran-ngoc-anh.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-004,Đội ngũ,Lê Minh Long,Long-UXUI.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Long-UXUI.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/le-minh-long.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-005,Đội ngũ,Phạm Quốc Huy,Huy-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Huy-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/pham-quoc-huy.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-006,Đội ngũ,Võ Hoàng An,Hoang-Nguyen-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Hoang-Nguyen-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/vo-hoang-an.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-007,Đội ngũ,Đặng Gia Duy,Duy-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Duy-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/dang-gia-duy.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-008,Đội ngũ,Bùi Hải Đăng,Dung-DEV.jpg,https://image.homenest.software/wp-content/uploads/2026/03/Dung-DEV.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/bui-hai-dang.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-009,Đội ngũ,Nguyễn Minh Tài,Tai-BA-tai-HomeNest-Viet-Nam.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/05/Tai-BA-tai-HomeNest-Viet-Nam.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/nguyen-minh-tai.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
NGUOI-010,Đội ngũ,Trần Đức Hoàng,Hoang-Developer.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/05/Hoang-Developer.jpg,Trang chủ — Đội ngũ của chúng tôi,public/images/people/doi-ngu/tran-duc-hoang.webp,Tối thiểu 1200 × 1500 px (4:5),WebP chất lượng 82–88,DA_TAO_VA_TICH_HOP,"Ảnh người Việt đã tạo, chuẩn hóa đúng tỷ lệ và tích hợp vào dữ liệu Winterfrost."
