id,project_slug,project_name,role,current_filename,current_url,recommended_filename,required_size,required_format,status,notes
DUAN-001,website-pixelnova-media,Website PixelNova Media,Ảnh bìa dự án,Giao-dien-trang-chu-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trang-chu-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-002,website-pixelnova-media,Website PixelNova Media,Màn hình website,Giao-dien-du-an-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-du-an-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-003,website-pixelnova-media,Website PixelNova Media,Màn hình website,Giao-dien-trai-nghiem-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-trai-nghiem-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-004,website-pixelnova-media,Website PixelNova Media,Màn hình website,Tin-tuc-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Tin-tuc-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/04-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-005,website-pixelnova-media,Website PixelNova Media,Màn hình website,Trang-chu-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Trang-chu-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/05-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-006,website-pixelnova-media,Website PixelNova Media,Màn hình website,du-an-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/du-an-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/06-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-007,website-pixelnova-media,Website PixelNova Media,Màn hình website,Giao-dien-dich-vu-Song-Quan-Ads-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-dich-vu-Song-Quan-Ads-Case-Study.jpg,public/images/projects/website-pixelnova-media/07-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện PixelNova Media, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-008,website-mocvan-tea,Website Mocvan Tea,Ảnh bìa dự án,giao-dien-Nuage-Sauvage-case-study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-Nuage-Sauvage-case-study.jpg,public/images/projects/website-mocvan-tea/01-anh-bia-du-an.webp,1920 × 1080 px (16:9),WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Giữ nội dung chính trong vùng an toàn trung tâm để còn cắt 4:3. Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-009,website-mocvan-tea,Website Mocvan Tea,Màn hình website,Giao-dien-blog-Nuage-Sauvage-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-blog-Nuage-Sauvage-Case-Study.jpg,public/images/projects/website-mocvan-tea/02-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-010,website-mocvan-tea,Website Mocvan Tea,Màn hình website,giao-dien-hoi-thao-Nuage-Sauvage-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/giao-dien-hoi-thao-Nuage-Sauvage-Case-Study.jpg,public/images/projects/website-mocvan-tea/03-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-011,website-mocvan-tea,Website Mocvan Tea,Màn hình website,Giao-dien-Tra-Nuage-Sauvage-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-Tra-Nuage-Sauvage-Case-Study.jpg,public/images/projects/website-mocvan-tea/04-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-012,website-mocvan-tea,Website Mocvan Tea,Màn hình website,Trang-chu-Nuage-Sauvage-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Trang-chu-Nuage-Sauvage-Case-Study.jpg,public/images/projects/website-mocvan-tea/05-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-013,website-mocvan-tea,Website Mocvan Tea,Màn hình website,Giao-dien-ban-sac-cua-Nuage-Sauvage-Case-Study.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-ban-sac-cua-Nuage-Sauvage-Case-Study.jpg,public/images/projects/website-mocvan-tea/06-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
DUAN-014,website-mocvan-tea,Website Mocvan Tea,Màn hình website,Giao-dien-Nuage-Sauvage-Case-Study-1.jpg,https://image.homenest.com.vn/wp-content/uploads/2026/04/Giao-dien-Nuage-Sauvage-Case-Study-1.jpg,public/images/projects/website-mocvan-tea/07-man-hinh-website.webp,"Tối thiểu 1440 px chiều rộng, giữ chiều cao trang gốc",WebP chất lượng 82–88,DA_REBRAND_VA_TICH_HOP,"Đã dựng lại giao diện Mocvan Tea, che hoàn toàn nhận diện cũ và giữ nguyên kích thước ảnh gốc."
