id,priority,category,current_filename,extension,occurrences,used_in,current_url,recommended_filename,status,notes
ANH-0001,P0,DU_AN_CASE_STUDY,Website-Song-Quan-land.jpg,jpg,1,src/lib/site-data.json:686,https://image.homenest.com.vn/wp-content/uploads/2025/10/22123019/Website-Song-Quan-land.jpg,public/images/projects/thiet-ke-website-bat-dong-san-song-quan-land/01-anh-bia-du-an.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0002,P0,DU_AN_CASE_STUDY,Du-an-website-bontravel.jpg,jpg,1,src/lib/site-data.json:697,https://image.homenest.com.vn/wp-content/uploads/2025/10/22123021/Du-an-website-bontravel.jpg,public/images/projects/website-dich-vu-cho-thue-xe-bontravel/01-anh-bia-du-an.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0003,P0,DU_AN_CASE_STUDY,Website-chu-quan-ca-phe.jpg,jpg,1,src/lib/site-data.json:708,https://image.homenest.com.vn/wp-content/uploads/2025/10/22123024/Website-chu-quan-ca-phe.jpg,public/images/projects/du-an-website-chu-quan-ca-phe/01-anh-bia-du-an.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0004,P0,DU_AN_CASE_STUDY,Website-MCS.jpg,jpg,1,src/lib/site-data.json:719,https://image.homenest.com.vn/wp-content/uploads/2025/10/22123025/Website-MCS.jpg,public/images/projects/don-vi-thiet-ke-thi-cong-xay-dung-mcs/01-anh-bia-du-an.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0005,P0,DU_AN_CASE_STUDY,giao-dien-noi-that-gia-dinh-Thanh-Tung-case-study.jpg,jpg,11,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-noi-that-gia-dinh-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/04-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0006,P0,DU_AN_CASE_STUDY,giao-dien-noi-that-ki-tuc-xa-Thanh-Tung-case-study.jpg,jpg,11,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-noi-that-ki-tuc-xa-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/03-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0007,P0,DU_AN_CASE_STUDY,giao-dien-noi-that-Thanh-Tung-case-study.jpg,jpg,6,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-noi-that-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/06-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0008,P0,DU_AN_CASE_STUDY,giao-dien-noi-that-van-phong-Thanh-Tung-case-study.jpg,jpg,6,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-noi-that-van-phong-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/07-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0009,P0,DU_AN_CASE_STUDY,giao-dien-thiet-ke-Thanh-Tung-case-study.jpg,jpg,11,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-thiet-ke-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/05-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
ANH-0010,P0,DU_AN_CASE_STUDY,giao-dien-trang-chu-Thanh-Tung-case-study.jpg,jpg,11,src/lib/site-data.json:678,https://image.homenest.com.vn/wp-content/uploads/2025/10/giao-dien-trang-chu-Thanh-Tung-case-study.jpg,public/images/projects/website-noi-that-thanh-tung/02-man-hinh-website.webp,CHO_KIEM_TRA,URL ảnh từ máy chủ bên ngoài.
