stt,nhom,vai_tro,duong_dan_website,duong_dan_tap_tin,dinh_dang,kich_thuoc_px,dung_luong_kb,trang_thai
1,Thương hiệu SoftBuild,Tài sản hình ảnh SoftBuild,/images/brand/softbuild/contact/zalo.png,public/images/brand/softbuild/contact/zalo.png,PNG,112 × 112,11,DA_TICH_HOP
2,Thương hiệu SoftBuild,Tài sản hình ảnh SoftBuild,/images/brand/softbuild/hero/softbuild-pillar.png,public/images/brand/softbuild/hero/softbuild-pillar.png,PNG,250 × 718,145,DA_TICH_HOP
3,Thương hiệu SoftBuild,Tài sản hình ảnh SoftBuild,/images/brand/softbuild/hero/softbuild-platform.png,public/images/brand/softbuild/hero/softbuild-platform.png,PNG,400 × 280,92,DA_TICH_HOP
4,Thương hiệu SoftBuild,Tài sản hình ảnh SoftBuild,/images/brand/softbuild/softbuild-banner.jpg,public/images/brand/softbuild/softbuild-banner.jpg,JPEG,1508 × 1196,75,DA_TICH_HOP
5,Thương hiệu SoftBuild,Tài sản hình ảnh SoftBuild,/images/brand/softbuild/softbuild-logo-source.jpg,public/images/brand/softbuild/softbuild-logo-source.jpg,JPEG,1004 × 975,76,DA_TICH_HOP
6,Thương hiệu SoftBuild,Biểu tượng SoftBuild,/images/brand/softbuild/softbuild-symbol-transparent.png,public/images/brand/softbuild/softbuild-symbol-transparent.png,PNG,1004 × 975,671,DA_TICH_HOP
7,Thương hiệu SoftBuild,Logo chữ SoftBuild,/images/brand/softbuild/softbuild-wordmark.png,public/images/brand/softbuild/softbuild-wordmark.png,PNG,520 × 128,23,DA_TICH_HOP
8,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/aeromint-cleanroom/01-anh-bia-du-an.webp,public/images/projects/aeromint-cleanroom/01-anh-bia-du-an.webp,WEBP,963 × 557,10,DA_TICH_HOP
9,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/02-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/02-man-hinh-website.webp,WEBP,1905 × 1080,22,DA_TICH_HOP
10,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/03-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/03-man-hinh-website.webp,WEBP,1901 × 1079,23,DA_TICH_HOP
11,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/04-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/04-man-hinh-website.webp,WEBP,1898 × 1080,23,DA_TICH_HOP
12,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/05-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/05-man-hinh-website.webp,WEBP,1898 × 1080,23,DA_TICH_HOP
13,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/06-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/06-man-hinh-website.webp,WEBP,1906 × 1080,22,DA_TICH_HOP
14,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/07-man-hinh-website.webp,public/images/projects/aeromint-cleanroom/07-man-hinh-website.webp,WEBP,1896 × 1079,23,DA_TICH_HOP
15,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/aeromint-cleanroom/brand/symbol.png,public/images/projects/aeromint-cleanroom/brand/symbol.png,PNG,256 × 256,10,DA_TICH_HOP
16,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/brand/symbol.svg,public/images/projects/aeromint-cleanroom/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
17,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/aeromint-cleanroom/brand/wordmark.png,public/images/projects/aeromint-cleanroom/brand/wordmark.png,PNG,1000 × 256,22,DA_TICH_HOP
18,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/aeromint-cleanroom/brand/wordmark.svg,public/images/projects/aeromint-cleanroom/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
19,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/app-grevia-lawn/01-anh-bia-du-an.webp,public/images/projects/app-grevia-lawn/01-anh-bia-du-an.webp,WEBP,1209 × 682,12,DA_TICH_HOP
20,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/02-man-hinh-ung-dung.webp,public/images/projects/app-grevia-lawn/02-man-hinh-ung-dung.webp,WEBP,934 × 2021,23,DA_TICH_HOP
21,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/03-man-hinh-ung-dung.webp,public/images/projects/app-grevia-lawn/03-man-hinh-ung-dung.webp,WEBP,934 × 2021,23,DA_TICH_HOP
22,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/04-man-hinh-ung-dung.webp,public/images/projects/app-grevia-lawn/04-man-hinh-ung-dung.webp,WEBP,934 × 2021,23,DA_TICH_HOP
23,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/05-man-hinh-ung-dung.webp,public/images/projects/app-grevia-lawn/05-man-hinh-ung-dung.webp,WEBP,934 × 2021,23,DA_TICH_HOP
24,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/06-man-hinh-ung-dung.webp,public/images/projects/app-grevia-lawn/06-man-hinh-ung-dung.webp,WEBP,934 × 2021,23,DA_TICH_HOP
25,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/app-grevia-lawn/brand/symbol.png,public/images/projects/app-grevia-lawn/brand/symbol.png,PNG,256 × 256,11,DA_TICH_HOP
26,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/app-grevia-lawn/brand/symbol.svg,public/images/projects/app-grevia-lawn/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
27,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/app-grevia-lawn/brand/wordmark.png,public/images/projects/app-grevia-lawn/brand/wordmark.png,PNG,1000 × 256,26,DA_TICH_HOP
